"signal_id","strategic_industry","problem_type","industry","occupation_or_function","geography","period","value","unit","population_definition","source_url","evidence_grade","proxy_limit","sustained_or_spike"
"D-352","항공","시장구조(맥락지표)","항공정비(MRO)","해당없음","세계·전국(인천 미분해)","2026 보도 시점","세계 MRO 시장 약 171조원(2026) → 224조원(2035) / 국내 정비수요 60% 이상 해외 의존","복합","세계 항공MRO 시장 및 국내 항공정비 위탁 구조","https://www.viva100.com/article/20260806501067","C","세계·전국 수치라 인천분 분해 불가. '해외 의존 60% 이상'은 국내 대체 잠재량이지 확정 수요가 아니며 분모(전체 정비수요) 산정 기준 원문 미확인. 시장 규모를 인천 인력 수요로 환산할 계수 없음","SUSTAINED"
"D-353","항공","데이터 공백-분양 미개시","항공산업 일반산업단지","해당없음","영종구 영종항공일반산단","2026","분양공고 2026-10 목표(미개시)","절차 진행상태","영종항공일반산업단지 산업용지 분양","https://www.kyeongin.com/article/1767466","C","분양 실적이 없어 대한항공 외 협력사의 실수요를 판정할 수 없음. '협력사 집적효과 기대'는 기대 서술일 뿐 입주 의향 조사 결과가 아님. 분양률이 나오기 전까지 항공부품·협력사 수요는 미확인 상태이며 미분양이면 역방향 신호","SPIKE"
"D-354","항공","인력-공급실적","항공정비(MRO)","해당없음","연수구 송도(인하대)","2026-01-22 ~ 01-27","40여명 참여(4일 과정)","교육 참여인원(명)","인하대 '항공기 정비 실무자 양성과정' 참여 재학생(항공우주공학과·기계공학과 등, 대한항공 정비본부 협력)","https://www.i-rise.or.kr/bbs/bbsView?mid=603002000000&bbsId=5&postNo=61","C","통제 어휘에 항공 직무 없음. 공급(교육) 실적이지 수요가 아니며 4일짜리 단기 과정이라 정비 실무 투입 인력으로 환산 불가. 지원자 수·취업 연계 실적 미공개라 경쟁률로 수요 강도를 볼 수 없음","SPIKE"
"D-355","항공","인력-공급실적","미래항공모빌리티(AAM) 설계·제작","해당없음","인천광역시(한국폴리텍 남인천캠퍼스)","2026-05-11 ~ 07-21","9","수료 인원(명)","한국폴리텍 남인천캠퍼스 'AAM 설계·제작 인력 양성 과정' 수료생(전원 CATIA 국제인증 합격, 한국산업인력공단 인천지사·인천지역인적자원개발위원회 협력)","https://www.livesnews.com/news/article.html?no=62854","C","통제 어휘에 항공 직무 없음. 공급 실적이며 취업 연계 인원 미공개. 인천지역인적자원개발위원회가 참여한 사업임에도 배출 규모가 9명이라는 점은 연계된 기업 채용 수요가 확인되지 않았거나 매우 작다는 방증일 수 있음. 반대가설: 시범 차수라 의도적으로 소규모 운영","SPIKE"
"D-360","미래차","산업규모-전환대상 모수","자동차·자동차부품 제조","해당없음","인천광역시","2024","사업체 699개사 / 종사자 약 1만7,000명","복합","인천 자동차산업(자동차 및 부품 제조) 사업체·종사자","https://www.incheontoday.com/news/articleView.html?idxno=317621","C","수요 신호가 아니라 전환 대상 모수다. 종사자 1만7,000명은 미래차 인력 수요가 아니라 내연기관 기반 재직자 규모이며, 2022년 이후 사업체수·종사자수가 동반 감소 중이므로 오히려 역방향 신호. 인천연구원 이슈&트렌드 26-03호(2026-03-27)를 인용한 언론보도이며 원문 PDF 수치 대조 필요","SUSTAINED"
"D-361","미래차","수요부재-역방향 신호","자동차부품 제조","해당없음","인천광역시","2026-03 발표(5주간 조사)","97.6","%(사업전환 의사 없음 응답 비율)","인천 자동차·부품 제조기업 889개사 조사 대상 중 응답 210개사(응답률 23.6%)","https://www.incheontoday.com/news/articleView.html?idxno=317621","C","가장 강한 역방향 신호. 응답 기업의 97.6%가 사업전환 의사 자체가 없다고 답했으므로 미래차 전환에 따른 신규 인력 수요는 기업 측에서 발생하고 있지 않다는 뜻. 다만 응답률 23.6%로 전환에 관심 없는 기업이 오히려 무응답했을 가능성(자기선택 편의)은 반대 방향으로도 작동. 인천연구원 원문 PDF 미대조","SPIKE"
"D-362","미래차","수요부재-전환 미준비","자동차부품 제조","해당없음","인천광역시","2022 조사","준비 안 함 70.6 / 계획단계 13.7 / 개발단계 12.5 / 생산단계 1.9","%(미래차 산업 진출 준비 현황)","인천시 자동차 부품업체","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","전환 준비도이지 인력 수요가 아니다. 실제 개발·생산 단계에 진입한 기업은 14.4%뿐이므로 미래차 직무 채용이 발생할 모수는 극히 작다. 원자료는 인천테크노파크(2022) 실태조사이며 조사 기업 수·조사방법이 인천연구원 보고서에 재인용만 되어 있어 표본 규모 미확인. 주의: 같은 보고서 요약(4쪽)은 74.3%를 '미래차 준비 안 됨'으로 서술하나 본문(22쪽)의 74.3%는 R&D 미수행 비율이고 미래차 미준비는 70.6%다 — 보고서 내부 불일치","SUSTAINED"
"D-363","미래차","흡수역량 결손","자동차부품 제조","해당없음","인천광역시","2022 조사","R&D 활동 미수행 74.3 / 기업부설연구소 14.8 / 연구전담부서 7.4","%","인천시 자동차 부품업체","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","연구인력을 둘 조직 자체가 없다는 뜻이므로 연구개발 인력 수요의 부재 근거이지 부족 근거가 아니다. 인력을 채용해도 배치할 조직이 없는 상태를 가리키므로 인력양성 사업의 수요처 부재 경보로 읽어야 한다. 원자료 인천TP(2022) 실태조사 표본 규모 미확인","SUSTAINED"
"D-364","미래차","전환대상 모수(맥락지표)","자동차 및 트레일러+기타 운송장비 제조","해당없음","인천광역시","2022","기업 914개 / 종사자 12,706명 (인천 제조업 대비 기업 1.92%·종사자 4.18%)","복합","표준산업분류 C30+C31 기준 인천 전통 자동차제조업","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","전환 대상 모수이며 수요가 아니다. 원자료는 통계청 전국사업체조사(2022) 마이크로데이터이나 인천연구원이 재가공한 값이라 원자료 직접 대조 불가. 울산 34.39%·경남 21.18%와 비교하면 인천은 자동차 의존도가 낮은 편이어서 미래차를 전략산업 1순위로 놓을 근거가 약함. D-360의 699개사·1만7,000명과 정의(연도·업종범위)가 달라 시계열로 이어붙이면 안 됨","SUSTAINED"
"D-365","미래차","전환 리스크 모수","자동차부품 제조","해당없음","인천광역시","2019 기준 추산","부정적 영역 약 160개사 / 중립 405개사 / 긍정 55개사","기업수(추산)","전기차 확산 시 사업영역 축소 위험 부품군을 생산하는 인천 사업체","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","실측이 아니라 부품군-사업체 매핑에 의한 추산치이며 기준연도가 2019년으로 7년 경과. 160개사는 '위험 기업 수'이지 재교육 대상 인원이 아니다. 기업당 종사자 수가 없어 전환 대상 인원으로 환산 불가. 원출처는 민규량·문재철(2022) 인천연구원 보고서로 재인용","SUSTAINED"
"D-366","미래차","지원사업 수요 저조-역방향 신호","자동차부품 제조","해당없음","인천광역시","2024","기술개발 지원 3개사 / 기술전환 컨설팅 3개사 / 시험지원 8건","수혜기업수·건수","인천테크노파크 미래자동차 지원사업 수혜 기업","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","전체 부품사 수(D-364 기준 914개) 대비 수혜기업이 3개사 수준이다. 보고서는 원인으로 '지원 금액이 많지 않아 기업 발굴이 쉽지 않다'는 공급 측 사정을 들었으나, D-361(사업전환 의사 없음 97.6%)·D-362(미준비 70.6%)와 겹쳐 읽으면 신청 수요 자체가 없다는 해석도 성립한다. 신청기업수·경쟁률이 공개돼야 두 해석을 가를 수 있다","SPIKE"
"D-367","미래차","정책 축소-역방향 신호","자동차부품 제조","해당없음","인천광역시","2023→2024","합계 26억→10억(전년 대비 38% 수준) / R&D 지원 11.2억→1.8억 / 기술전환 촉진 6.0억→2.8억","예산(원)","인천시 자동차 부품기업 육성 지원사업 예산","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","기업 수요 지표가 아니라 정책 투입 지표다. 다만 R&D 지원 예산이 84% 삭감된 것은 인천시 스스로 미래차 전환 지원의 우선순위를 낮췄다는 뜻이므로 정책 지속성 경보로 사용해야 한다. 원자료는 '인천시 내부자료(2024)'로 표기돼 있어 공개 원장에서 재확인 불가. 2025~2026년 예산 미확인","SPIKE"
"D-368","미래차","지원공급 한도","자동차부품 제조","해당없음","인천광역시","2026-06 모집(6월 30일 마감)","전문 기술 컨설팅 16개사 내외(기업당 최대 2,300만원) / 시험평가 22개사 내외","선정 예정 기업수·지원한도","인천 관내 내연기관 부품기업 중 미래차 전환 희망 기업","https://www.joongboo.com/news/articleView.html?idxno=363728845","C","선정 예정 기업수와 지원한도이지 수요량이 아니다(D-303과 같은 성격). '내외'라는 표현은 미달 가능성을 열어둔 것이며, 신청기업수·경쟁률이 공개되지 않아 수요 강도를 판정할 수 없다. 인력·고용 관련 언급은 공고에 전혀 없어 이 사업에서 인력 수요를 도출할 수 없음","SPIKE"
"D-369","미래차","계획목표 vs 실적 괴리","자동차부품 제조","해당없음","인천광역시","2021 기준→2026 목표","기업수 628개→885개 / 일자리 2만1,951→3만512개 / 매출 14조3,000억→17조5,000억원 (5년간 1,104억원 투입)","계획 목표치","인천시 미래자동차 산업 육성 종합계획(2022~2026)","https://www.incheontoday.com/news/articleView.html?idxno=214374","B","기업 수요 실측이 아니라 계획 수립 시점(2022-01)의 목표치이므로 FORECAST로만 취급해야 하며 현재 인력 수요와 혼동 금지. 목표 3만512개 일자리에 대해 2024년 실적은 사업체 699개·종사자 약 1만7,000명(D-360)으로 감소 중이어서 목표 미달이 사실상 확정적이다. 다만 D-360과 D-369의 산업 범위 정의(자동차산업 vs 자동차부품)가 달라 직접 뺄셈은 불가. 계획 종료연도가 2026년이므로 성과평가 문서가 나오면 교체 필요","FORECAST"
"D-370","미래차","인력-공급실적(수요 아님)","미래형자동차","해당없음","인천광역시","2022~2024","연 48명 / 3년간 총 144명 (3년간 약 18억원)","양성 목표 인원(명)","산업통상자원부 미래형자동차 기술혁신인재양성사업 인천대 선정","https://www.incheontoday.com/news/articleView.html?idxno=219757","C","공급 실적·목표이지 수요가 아니다(D-109와 같은 성격). '산업현장 수요기반'이라는 표현만 있을 뿐 기업 수요조사 근거·참여기업 수가 기사에 제시되지 않았다. 사업기간이 2024년 종료로 2026년 현재 지속 여부 미확인이며, 실제 배출 인원·취업률도 미확인. 주관대학 페이지는 '연간 48명 교육생 배출, 80% 이상 취·창업·진학'을 목표로만 제시","SPIKE"
"D-371","미래차","인력-이탈/정착(미래차 아님)","자동차부품 제조","해당없음","인천광역시","2026-02-26 시행","총 9억4,000만원 / 신규 입사자 상생이음 장려금 50만원 / 3년 이상 재직자 미래이음 공제(월 15만원 매칭, 최대 300만원)","예산·지원단가","인천 자동차부품 제조업 근로자","https://www.incheonnews.com/news/articleView.html?idxno=434495","C","인천 자동차부품업에 실재하는 유일한 인력 신호이나 미래차 전환 수요가 아니라 기존 내연기관 부품업의 숙련인력 이탈·잦은 이직 문제다. 인천상의는 '단순한 채용 지원만으로는 숙련 인력의 이탈을 막는 데 분명한 한계'라며 채용 확대에서 정착 중심으로 전략을 바꿨다고 밝혔는데, 이는 신규 채용 수요가 크지 않다는 자인으로도 읽힌다. 지원 대상 기업수·근로자수 미공개, 이직률·미충원율 정량치 미확보","SUSTAINED"
"D-372","미래차","인력-숙련인력 이탈","자동차부품 제조","해당없음","인천광역시","2025(예산 소진 시까지, 2025-12 지급종료)","장기근속 장려금 총 193명(재직 2년 이상 80명·100만원 / 4년 이상 60명·150만원 / 6년 이상 53명·200만원)","지원 인원(명)","인천 소재 상시근로자 500인 이하 자동차부품 제조기업 재직자","https://incheon.korcham.net/front/board/boardContentsView.do?boardId=51228&contId=118498&menuId=10130","B","지원 정원이지 이탈 인원이나 부족 인원이 아니다. 193명은 예산으로 정해진 상한이므로 수요 규모로 읽으면 안 되며, 실제 신청·선정 인원이 공개돼야 수요 강도 판정 가능. 사업 목적이 '숙련근로자의 이탈 방지'라는 점에서 이탈 자체는 실재하나 미래차 전환과는 무관한 기존 부품업 정착 문제. 공고문에 미래차 언급 없음","SUSTAINED"
"D-373","미래차","인력-질적 수요(전문가 의견)","미래차 부품·SW","SW·AI","인천광역시","2024 조사","전문가 16명 응답","응답자수(명)","자동차 산업 관련 대학 교수진·연구진·기관·기업 CEO","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","기업의 채용 수요량이 아니라 전문가 16명의 의견 순위다. 향후 필요 정책 우선순위에서 '인력양성 및 재교육 프로그램 확대'가 상위로 조사됐고, 지원기관 응답에는 'SW(정보통신, 보안 등) 인력 확보, 진입기업들을 위한 고급 인력 육성 방안 필요', 대학 응답에는 '연구개발 인력양성 및 확보'가 제시됐다. 표본 16명은 수요 추정 근거로 쓸 수 없으며 부족인원·채용계획 인원은 전혀 제시되지 않음. POLICY_TREND로 취급","POLICY_TREND"
"D-374","미래차","인력-질적 미스매치","미래차 부품","해당없음","인천광역시","2024","정성","서술","인천시 미래차 인력양성 사업의 교육 내용","https://www.ii.re.kr/storage/report/BB0000040429.pdf","B","인천연구원은 인천시 인력양성이 '정비사 교육 중심'이며 인천TP 성장지원형 사업도 '미래차 전환 전문 기술교육으로 차량 정비 교육과정을 운영 중'이라고 진단하고 '정비사 교육 중심의 인력양성 정책을 넘어' 대상별 설계가 필요하다고 제언했다. 미스매치의 방향(정비 과잉·설계/SW 결손)은 서술로만 존재하고 과정별 수강 인원·수료생 취업처 정량치는 미확보. 연구자 진단이며 기업 실태조사 결과가 아님","SUSTAINED"
"D-375","미래차","공급망-단일고객 의존 리스크","자동차부품 제조","해당없음","인천광역시","2022 조사 / 2026 조사","현대·기아 74.5% · 한국GM 16.5%(2022) / 1차 협력사 완성차 대상 매출 중 한국GM 29.2%, 한국GM 거래 21개사 중 5개사는 매출 100% 의존(2026)","%(매출 의존도)·기업수","인천시 자동차 부품기업","https://www.incheontoday.com/news/articleView.html?idxno=317621","C","수요 신호가 아니라 리스크 지표이며, 완성차 발주가 줄면 인천 부품업 고용이 함께 줄어드는 역방향 경로를 가리킨다. 2022년 인천TP 조사(현대·기아 74.5%)와 2026년 인천연구원 조사(한국GM 29.2%)는 모집단·분모 정의가 달라 두 수치를 직접 비교하면 안 됨. 2, 3차 협력사가 약 80%(3차 39.3%·2차 39.7%·1차 9.5%)여서 완성차와의 연결이 간접적이라는 점도 함께 봐야 함","SUSTAINED"
"D-376","미래차","고용 감소-역방향 신호","완성차 제조","해당없음","부평구","2022-11-26 생산중단","정성","서술","한국GM 부평2공장 및 협력업체","https://www.24news.kr/news/articleView.html?idxno=207242","C","미래차 수요의 역방향 신호. 부평2공장은 2022-11-26 생산을 중단했고 노조가 요구한 전기차 생산 유치는 '사실상 어렵게 됐다'고 보도됐다. 즉 인천 완성차 거점에 미래차 생산 물량이 배정되지 않았고 그만큼 미래차 인력 수요도 발생하지 않았다. 감소 인원·협력업체 수는 기사에 제시되지 않아 정량화 불가(사측은 부평1공장·창원공장 전환배치라고만 밝힘). 시점이 2022년으로 4년 경과했으므로 2026년 신차 배정 현황으로 갱신 필요","SUSTAINED"
"D-377","미래차","시설-공급 선행","커넥티드카","해당없음","서해구 청라","2026-03-19 개소","총 148억원(2022~2026) / 연면적 4,774㎡ / 시험평가 장비 12종 중 9종 구축 완료","예산·면적·장비수","인천 커넥티드카 인증평가센터","https://www.incheontoday.com/news/articleView.html?idxno=316695","C","수요 신호가 아니라 공급 지표다(D-301과 같은 성격). 이용 기업수·이용 건수·상주 인력이 기사에 전혀 제시되지 않아 수요 판정 불가이며, 미이용이면 역방향 신호가 된다. 사업비는 일부 언론이 360억6,500만원으로 보도해 148억원과 불일치하므로 인천경제자유구역청 원문 확인 전에는 슬라이드에 올리지 말 것. 운영 주체도 인천경제자유구역청/한국자동차연구원으로 보도가 엇갈림","SPIKE"
